client timestamp,button,state,x,y
667641489,NoButton,Move,-1082,286
667641490,NoButton,Move,-1076,291
667641493,NoButton,Move,-1068,297
667641494,NoButton,Move,-1061,303
667641496,NoButton,Move,-1054,309
667641498,NoButton,Move,-1045,314
667641500,NoButton,Move,-1038,320
667641502,NoButton,Move,-1030,326
667641504,NoButton,Move,-1023,331
667641506,NoButton,Move,-1016,337
667641508,NoButton,Move,-1007,343
667641510,NoButton,Move,-1000,348
667641512,NoButton,Move,-992,354
667641514,NoButton,Move,-984,359
667641516,NoButton,Move,-976,365
667641518,NoButton,Move,-969,371
667641520,NoButton,Move,-962,376
667641522,NoButton,Move,-953,381
667641524,NoButton,Move,-944,387
667641526,NoButton,Move,-937,392
667641528,NoButton,Move,-926,399
667641530,NoButton,Move,-917,404
667641532,NoButton,Move,-910,408
667641534,NoButton,Move,-903,412
667641536,NoButton,Move,-896,415
667641538,NoButton,Move,-888,419
667641540,NoButton,Move,-882,422
667641542,NoButton,Move,-875,426
667641544,NoButton,Move,-868,431
667641547,NoButton,Move,-862,434
667641548,NoButton,Move,-856,437
667641550,NoButton,Move,-850,439
667641552,NoButton,Move,-844,442
667641554,NoButton,Move,-840,444
667641556,NoButton,Move,-834,447
667641558,NoButton,Move,-828,449
667641560,NoButton,Move,-821,451
667641562,NoButton,Move,-815,454
667641564,NoButton,Move,-809,456
667641566,NoButton,Move,-804,459
667641568,NoButton,Move,-798,461
667641570,NoButton,Move,-792,464
667641572,NoButton,Move,-786,466
667641574,NoButton,Move,-780,468
667641576,NoButton,Move,-775,470
667641578,NoButton,Move,-769,471
667641580,NoButton,Move,-764,473
667641582,NoButton,Move,-759,475
667641584,NoButton,Move,-754,477
667641586,NoButton,Move,-750,479
667641588,NoButton,Move,-744,481
667641590,NoButton,Move,-738,482
667641592,NoButton,Move,-732,484
667641594,NoButton,Move,-728,485
667641596,NoButton,Move,-722,486
667641598,NoButton,Move,-717,487
667641600,NoButton,Move,-712,488
667641602,NoButton,Move,-708,489
667641604,NoButton,Move,-702,491
667641606,NoButton,Move,-698,492
667641608,NoButton,Move,-694,493
667641610,NoButton,Move,-688,494
667641612,NoButton,Move,-684,494
667641614,NoButton,Move,-678,495
667641616,NoButton,Move,-674,496
667641618,NoButton,Move,-669,497
667641620,NoButton,Move,-666,498
667641622,NoButton,Move,-662,499
667641624,NoButton,Move,-658,499
667641626,NoButton,Move,-655,500
667641628,NoButton,Move,-652,500
667641630,NoButton,Move,-649,500
667641632,NoButton,Move,-647,500
667641634,NoButton,Move,-644,500
667641636,NoButton,Move,-642,500
667641638,NoButton,Move,-640,500
667641640,NoButton,Move,-638,500
667641642,NoButton,Move,-636,500
667641644,NoButton,Move,-635,500
667641646,NoButton,Move,-633,500
667641648,NoButton,Move,-632,500
667641650,NoButton,Move,-631,500
667641652,NoButton,Move,-629,500
667641654,NoButton,Move,-629,500
