X,Y,EventCode,EventName,Timestamp,ProcessID
683,384,512,Move,59703,0
683,384,512,Move,59768,0
683,384,512,Move,59776,0
683,384,512,Move,59777,0
683,384,512,Move,59797,0
683,384,512,Move,59797,0
683,384,512,Move,59817,0
683,384,512,Move,59818,0
683,384,512,Move,59838,0
683,384,512,Move,59838,0
683,384,512,Move,59850,0
683,384,512,Move,59850,0
683,384,512,Move,59860,0
683,384,512,Move,59861,0
683,384,512,Move,59862,0
683,384,512,Move,59863,0
683,384,512,Move,59863,0
683,384,512,Move,59864,0
683,384,512,Move,59883,0
683,384,512,Move,59893,0
683,384,512,Move,59897,0
683,384,512,Move,60788,0
683,384,512,Move,60790,0
683,384,512,Move,60791,0
683,384,512,Move,61286,0
683,384,512,Move,61290,0
683,384,512,Move,61518,0
683,384,512,Move,61522,0
683,384,512,Move,61551,0
683,384,512,Move,61552,0
683,384,512,Move,61585,0
683,384,512,Move,61586,0
683,384,512,Move,61588,0
683,384,512,Move,61588,0
683,384,512,Move,61813,0
683,384,512,Move,61817,0
683,384,512,Move,62315,0
683,384,512,Move,62315,0
683,384,512,Move,62524,0
683,384,512,Move,62524,0
683,384,512,Move,63411,0
683,384,512,Move,64819,0
683,384,512,Move,64823,0
683,384,512,Move,64980,0
683,384,512,Move,64985,0
683,384,512,Move,67281,0
683,384,512,Move,68959,0
683,384,512,Move,68962,0
683,384,512,Move,68987,0
683,384,512,Move,69028,0
683,384,512,Move,69029,0
683,384,512,Move,69029,0
683,384,512,Move,69030,0
683,384,512,Move,69031,0
683,384,512,Move,69032,0
683,384,512,Move,69033,0
683,384,512,Move,69037,0
683,384,512,Move,69038,0
683,384,512,Move,69043,0
683,384,512,Move,69053,0
683,384,512,Move,69098,0
683,384,512,Move,69099,0
683,384,512,Move,69116,0
683,384,512,Move,69117,0
683,384,512,Move,69118,0
683,384,512,Move,69119,0
683,384,512,Move,69123,0
683,384,512,Move,69124,0
683,384,512,Move,69124,0
683,384,512,Move,70782,0
683,384,512,Move,70816,0
683,384,512,Move,70816,0
683,384,512,Move,70818,0
683,384,512,Move,70848,0
683,384,512,Move,71996,0
683,384,512,Move,71998,0
683,384,512,Move,71999,0
683,384,512,Move,72000,0
683,384,512,Move,72002,0
683,384,512,Move,72002,0
683,384,512,Move,72022,0
683,384,512,Move,72024,0
683,384,512,Move,72025,0
683,384,512,Move,72027,0
683,384,512,Move,72028,0
683,384,512,Move,72029,0
683,384,512,Move,72030,0
683,384,512,Move,72031,0
683,384,512,Move,72032,0
683,384,512,Move,72041,0
683,384,512,Move,72043,0
683,384,512,Move,72043,0
683,384,512,Move,72044,0
683,384,512,Move,72045,0
683,384,512,Move,72046,0
683,384,512,Move,72056,0
683,384,512,Move,72058,0
683,384,512,Move,72059,0
683,384,512,Move,72059,0
683,384,512,Move,72061,0
683,384,512,Move,72061,0
683,384,512,Move,72069,0
683,384,512,Move,72070,0
683,384,512,Move,72071,0
683,384,512,Move,72071,0
683,384,512,Move,72072,0
683,384,512,Move,72073,0
683,384,512,Move,72082,0
683,384,512,Move,72084,0
683,384,512,Move,72085,0
683,384,512,Move,72086,0
683,384,512,Move,72384,0
683,384,512,Move,72384,0
683,384,512,Move,72385,0
683,384,512,Move,72387,0
683,384,512,Move,72388,0
683,384,512,Move,72388,0
683,384,512,Move,89315,0
683,384,512,Move,89315,0
683,384,512,Move,89578,0
683,384,512,Move,89605,0
683,384,512,Move,89607,0
683,384,512,Move,89608,0
683,384,512,Move,122429,0
686,384,512,Move,127145,0
694,387,512,Move,127153,0
702,390,512,Move,127161,0
712,393,512,Move,127169,0
719,398,512,Move,127177,0
723,400,512,Move,127185,0
725,401,512,Move,127193,0
724,401,512,Move,127249,0
720,400,512,Move,127257,0
714,398,512,Move,127265,0
704,392,512,Move,127273,0
698,389,512,Move,127281,0
689,385,512,Move,127289,0
685,383,512,Move,127297,0
683,381,512,Move,127305,0
683,381,513,Pressed,127548,0
683,381,512,Move,127550,0
683,381,514,Released,127681,0
683,381,512,Move,127682,0
683,380,512,Move,128185,0
682,380,512,Move,128193,0
681,379,512,Move,128201,0
680,378,512,Move,128209,0
678,376,512,Move,128217,0
676,375,512,Move,128225,0
673,372,512,Move,128233,0
671,371,512,Move,128241,0
670,370,512,Move,128249,0
669,370,512,Move,128257,0
668,370,512,Move,128265,0
667,370,512,Move,128289,0
665,370,512,Move,128297,0
662,371,512,Move,128313,0
657,372,512,Move,128321,0
653,376,512,Move,128329,0
647,381,512,Move,128337,0
638,389,512,Move,128345,0
629,397,512,Move,128353,0
621,404,512,Move,128361,0
612,412,512,Move,128369,0
