timestamp,event,x,y,user,screen_width,screen_height
1490184636079,Mouse Moved,624.0,510.0,User23,1536.0,864.0
1490184636095,Mouse Moved,626.0,505.0,User23,,
1490184636095,Mouse Moved,628.0,501.0,User23,,
1490184636095,Mouse Moved,632.0,490.0,User23,,
1490184636111,Mouse Moved,638.0,480.0,User23,,
1490184636111,Mouse Moved,646.0,469.0,User23,,
1490184636111,Mouse Moved,651.0,459.0,User23,,
1490184636125,Mouse Moved,656.0,450.0,User23,,
1490184636125,Mouse Moved,662.0,443.0,User23,,
1490184636141,Mouse Moved,664.0,440.0,User23,,
1490184636141,Mouse Moved,668.0,435.0,User23,,
1490184636157,Mouse Moved,670.0,432.0,User23,,
1490184636157,Mouse Moved,672.0,431.0,User23,,
1490184636173,Mouse Moved,673.0,429.0,User23,,
1490184636937,Mouse Moved,675.0,428.0,User23,,
1490184636937,Mouse Moved,676.0,427.0,User23,,
1490184636953,Mouse Moved,677.0,427.0,User23,,
1490184636969,Mouse Moved,679.0,426.0,User23,,
1490184636969,Mouse Moved,680.0,425.0,User23,,
1490184636983,Mouse Moved,681.0,425.0,User23,,
1490184637000,Mouse Moved,682.0,424.0,User23,,
1490184637016,Mouse Moved,683.0,423.0,User23,,
1490184637016,Mouse Moved,684.0,422.0,User23,,
1490184637030,Mouse Moved,685.0,422.0,User23,,
1490184637046,Mouse Moved,686.0,421.0,User23,,
1490184637062,Mouse Moved,687.0,421.0,User23,,
1490184637062,Mouse Moved,688.0,420.0,User23,,
1490184637078,Mouse Moved,689.0,420.0,User23,,
1490184637094,Mouse Moved,690.0,419.0,User23,,
1490184637094,Mouse Moved,692.0,418.0,User23,,
1490184637108,Mouse Moved,695.0,416.0,User23,,
1490184637125,Mouse Moved,697.0,416.0,User23,,
1490184637125,Mouse Moved,701.0,414.0,User23,,
1490184637140,Mouse Moved,707.0,413.0,User23,,
1490184637155,Mouse Moved,714.0,412.0,User23,,
1490184637155,Mouse Moved,722.0,411.0,User23,,
1490184637171,Mouse Moved,726.0,411.0,User23,,
1490184637171,Mouse Moved,729.0,411.0,User23,,
1490184637187,Mouse Moved,731.0,411.0,User23,,
1490184637203,Mouse Moved,733.0,411.0,User23,,
1490184637203,Mouse Moved,734.0,411.0,User23,,
1490184637217,Mouse Moved,735.0,411.0,User23,,
1490184637233,Mouse Moved,736.0,411.0,User23,,
1490184637951,Mouse Moved,735.0,413.0,User23,,
1490184637967,Mouse Moved,734.0,417.0,User23,,
1490184637967,Mouse Moved,731.0,423.0,User23,,
1490184637997,Mouse Moved,728.0,433.0,User23,,
1490184637997,Mouse Moved,725.0,439.0,User23,,
1490184637997,Mouse Moved,722.0,445.0,User23,,
1490184638013,Mouse Moved,716.0,456.0,User23,,
1490184638013,Mouse Moved,712.0,467.0,User23,,
1490184638029,Mouse Moved,709.0,474.0,User23,,
1490184638045,Mouse Moved,706.0,482.0,User23,,
1490184638045,Mouse Moved,701.0,490.0,User23,,
1490184638061,Mouse Moved,699.0,495.0,User23,,
1490184638075,Mouse Moved,698.0,501.0,User23,,
1490184638075,Mouse Moved,695.0,512.0,User23,,
1490184638092,Mouse Moved,694.0,520.0,User23,,
1490184638108,Mouse Moved,694.0,528.0,User23,,
1490184638108,Mouse Moved,692.0,535.0,User23,,
1490184638122,Mouse Moved,692.0,541.0,User23,,
1490184638138,Mouse Moved,692.0,544.0,User23,,
1490184638138,Mouse Moved,692.0,545.0,User23,,
1490184638154,Mouse Moved,692.0,547.0,User23,,
1490184638170,Mouse Moved,691.0,548.0,User23,,
1490184638170,Mouse Moved,691.0,550.0,User23,,
1490184638404,Mouse Moved,693.0,550.0,User23,,
1490184638404,Mouse Moved,696.0,550.0,User23,,
1490184638420,Mouse Moved,699.0,549.0,User23,,
1490184638434,Mouse Moved,703.0,547.0,User23,,
1490184638434,Mouse Moved,706.0,546.0,User23,,
1490184638450,Mouse Moved,709.0,546.0,User23,,
1490184638450,Mouse Moved,712.0,545.0,User23,,
1490184638466,Mouse Moved,718.0,544.0,User23,,
1490184638482,Mouse Moved,720.0,544.0,User23,,
1490184638482,Mouse Moved,721.0,544.0,User23,,
1490184638497,Mouse Moved,723.0,544.0,User23,,
1490184638513,Mouse Moved,724.0,544.0,User23,,
1490184638668,Mouse Moved,725.0,544.0,User23,,
1490184638746,Mouse Moved,725.0,543.0,User23,,
1490184638809,Mouse Moved,725.0,542.0,User23,,
1490184638841,Mouse Moved,725.0,541.0,User23,,
1490184638934,Mouse Moved,725.0,542.0,User23,,
1490184639153,Mouse Moved,725.0,542.0,User23,,
1490184639262,Mouse Moved,725.0,542.0,User23,,
1490184639808,Mouse Moved,725.0,542.0,User23,,
1490184639869,Mouse Moved,725.0,542.0,User23,,
1490184641039,Mouse Moved,726.0,540.0,User23,,
1490184641039,Mouse Moved,735.0,515.0,User23,,
1490184641072,Mouse Moved,740.0,496.0,User23,,
1490184641072,Mouse Moved,750.0,466.0,User23,,
1490184641086,Mouse Moved,756.0,450.0,User23,,
1490184641102,Mouse Moved,760.0,439.0,User23,,
1490184641102,Mouse Moved,762.0,432.0,User23,,
1490184641118,Mouse Moved,764.0,427.0,User23,,
1490184641118,Mouse Moved,764.0,425.0,User23,,
1490184641134,Mouse Moved,765.0,424.0,User23,,
1490184641150,Mouse Moved,765.0,423.0,User23,,
1490184641180,Mouse Moved,765.0,422.0,User23,,
1490184641196,Mouse Moved,765.0,421.0,User23,,
1490184641211,Mouse Moved,765.0,420.0,User23,,
1490184641227,Mouse Moved,765.0,418.0,User23,,
1490184641243,Mouse Moved,764.0,417.0,User23,,
1490184641243,Mouse Moved,764.0,416.0,User23,,
1490184641259,Mouse Moved,762.0,415.0,User23,,
1490184641259,Mouse Moved,761.0,413.0,User23,,
1490184641273,Mouse Moved,760.0,412.0,User23,,
1490184641289,Mouse Moved,758.0,409.0,User23,,
1490184641289,Mouse Moved,755.0,405.0,User23,,
1490184641305,Mouse Moved,753.0,403.0,User23,,
1490184641321,Mouse Moved,753.0,401.0,User23,,
1490184641321,Mouse Moved,752.0,399.0,User23,,
1490184641321,Mouse Moved,751.0,398.0,User23,,
1490184641351,Mouse Moved,751.0,397.0,User23,,
1490184641351,Mouse Moved,751.0,396.0,User23,,
1490184641368,Mouse Moved,751.0,394.0,User23,,
1490184641368,Mouse Moved,750.0,391.0,User23,,
1490184641398,Mouse Moved,749.0,388.0,User23,,
1490184641398,Mouse Moved,748.0,384.0,User23,,
1490184641414,Mouse Moved,748.0,382.0,User23,,
1490184641414,Mouse Moved,746.0,379.0,User23,,
1490184641414,Mouse Moved,745.0,376.0,User23,,
1490184641430,Mouse Moved,745.0,374.0,User23,,
1490184641446,Mouse Moved,743.0,372.0,User23,,
1490184641461,Mouse Moved,742.0,371.0,User23,,
1490184641461,Mouse Moved,742.0,368.0,User23,,
1490184641476,Mouse Moved,741.0,367.0,User23,,
1490184641476,Mouse Moved,740.0,366.0,User23,,
1490184641493,Mouse Moved,740.0,365.0,User23,,
1490184641507,Mouse Moved,739.0,365.0,User23,,
1490184641507,Mouse Moved,739.0,364.0,User23,,
1490184641539,Mouse Moved,739.0,363.0,User23,,
1490184641914,Mouse Moved,739.0,363.0,User23,,
1490184642007,Mouse Moved,739.0,363.0,User23,,
1490184645532,Mouse Moved,741.0,363.0,User23,,
1490184645563,Mouse Moved,747.0,362.0,User23,,
1490184645563,Mouse Moved,758.0,361.0,User23,,
1490184645563,Mouse Moved,774.0,361.0,User23,,
1490184645579,Mouse Moved,798.0,361.0,User23,,
1490184645595,Mouse Moved,827.0,364.0,User23,,
1490184645595,Mouse Moved,859.0,373.0,User23,,
1490184645611,Mouse Moved,891.0,381.0,User23,,
1490184645611,Mouse Moved,911.0,387.0,User23,,
1490184645627,Mouse Moved,922.0,391.0,User23,,
1490184645641,Mouse Moved,946.0,401.0,User23,,
1490184645641,Mouse Moved,953.0,405.0,User23,,
1490184645657,Mouse Moved,957.0,408.0,User23,,
1490184645674,Mouse Moved,962.0,410.0,User23,,
1490184645674,Mouse Moved,964.0,412.0,User23,,
1490184645907,Mouse Moved,966.0,412.0,User23,,
1490184645923,Mouse Moved,969.0,415.0,User23,,
1490184645938,Mouse Moved,986.0,428.0,User23,,
1490184645953,Mouse Moved,998.0,438.0,User23,,
